,latitude,longitude,nrides
554,42.2970707071,-71.0754545455,-18.6179085377
555,42.2970707071,-71.0733333333,-18.5955974127
556,42.2970707071,-71.0712121212,-18.5787037427
557,42.2970707071,-71.0690909091,-18.5672165342
558,42.2970707071,-71.066969697,-18.5611519253
559,42.2970707071,-71.0648484848,-18.5605761372
560,42.2970707071,-71.0627272727,-18.5656790981
561,42.2970707071,-71.0606060606,-18.5766460474
562,42.2970707071,-71.0584848485,-18.5935656653
563,42.2970707071,-71.0563636364,-18.6163339718
564,42.2970707071,-71.0542424242,-18.5772046199
565,42.2970707071,-71.0521212121,-18.5407192941
566,42.2970707071,-71.05,-18.5088837911
567,42.2970707071,-71.0478787879,-18.4813727108
568,42.2970707071,-71.0457575758,-18.4572700598
569,42.2970707071,-71.0436363636,-18.4370573653
570,42.2970707071,-71.0415151515,-18.4221627049
571,42.2970707071,-71.0393939394,-18.4128655073
572,42.2970707071,-71.0372727273,-18.4094780478
573,42.2970707071,-71.0351515152,-18.4123226863
574,42.2970707071,-71.033030303,-18.4215890962
