GEO.id,zip,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US01370,01370,"ZIP 01370 (Shelburne Falls, MA)",00,Total for all sectors,2012,118,631,3920,16043
8610000US01373,01373,"ZIP 01373 (South Deerfield, MA)",00,Total for all sectors,2012,152,2827,31561,126056
8610000US01375,01375,"ZIP 01375 (Sunderland, MA)",00,Total for all sectors,2012,53,617,4712,24986
8610000US01376,01376,"ZIP 01376 (Turners Falls, MA)",00,Total for all sectors,2012,103,1577,14183,60101
8610000US01378,01378,"ZIP 01378 (Warwick, MA)",00,Total for all sectors,2012,4,a,S,319
8610000US01379,01379,"ZIP 01379 (Wendell, MA)",00,Total for all sectors,2012,9,57,367,1002
8610000US01380,01380,"ZIP 01380 (Wendell Depot, MA)",00,Total for all sectors,2012,2,a,D,D
8610000US01420,01420,"ZIP 01420 (Fitchburg, MA)",00,Total for all sectors,2012,751,10317,83706,350477
8610000US01430,01430,"ZIP 01430 (Ashburnham, MA)",00,Total for all sectors,2012,95,690,5479,23004
8610000US01431,01431,"ZIP 01431 (Ashby, MA)",00,Total for all sectors,2012,51,140,1159,5401
8610000US01432,01432,"ZIP 01432 (Ayer, MA)",00,Total for all sectors,2012,234,4321,50958,210396
8610000US01434,01434,"ZIP 01434 (Devens, MA)",00,Total for all sectors,2012,69,2169,34625,148167
8610000US01436,01436,"ZIP 01436 (Baldwinville, MA)",00,Total for all sectors,2012,28,e,D,D
8610000US01438,01438,"ZIP 01438 (East Templeton, MA)",00,Total for all sectors,2012,22,c,D,D
8610000US01440,01440,"ZIP 01440 (Gardner, MA)",00,Total for all sectors,2012,411,6401,52465,221331
8610000US01441,01441,"ZIP 01441 (Westminster, MA)",00,Total for all sectors,2012,6,f,D,D
8610000US01450,01450,"ZIP 01450 (Groton, MA)",00,Total for all sectors,2012,192,1782,15901,65135
8610000US01451,01451,"ZIP 01451 (Harvard, MA)",00,Total for all sectors,2012,149,701,9389,38129
8610000US01452,01452,"ZIP 01452 (Hubbardston, MA)",00,Total for all sectors,2012,52,355,2289,9984
8610000US01453,01453,"ZIP 01453 (Leominster, MA)",00,Total for all sectors,2012,1109,15262,124784,528159
8610000US01460,01460,"ZIP 01460 (Littleton, MA)",00,Total for all sectors,2012,317,4990,80053,331301
8610000US01462,01462,"ZIP 01462 (Lunenburg, MA)",00,Total for all sectors,2012,201,1793,14030,61595
8610000US01463,01463,"ZIP 01463 (Pepperell, MA)",00,Total for all sectors,2012,198,1198,9790,44615
8610000US01464,01464,"ZIP 01464 (Shirley, MA)",00,Total for all sectors,2012,117,1224,13307,64433
8610000US01467,01467,"ZIP 01467 (Still River, MA)",00,Total for all sectors,2012,9,b,156,736
8610000US01468,01468,"ZIP 01468 (Templeton, MA)",00,Total for all sectors,2012,47,228,1771,8366
8610000US01469,01469,"ZIP 01469 (Townsend, MA)",00,Total for all sectors,2012,122,1213,9597,39421
8610000US01471,01471,"ZIP 01471 (Groton, MA)",00,Total for all sectors,2012,4,e,D,D
8610000US01472,01472,"ZIP 01472 (West Groton, MA)",00,Total for all sectors,2012,12,315,3490,14069
8610000US01473,01473,"ZIP 01473 (Westminster, MA)",00,Total for all sectors,2012,151,1514,22981,82963
8610000US01474,01474,"ZIP 01474 (West Townsend, MA)",00,Total for all sectors,2012,26,229,1425,5578
8610000US01475,01475,"ZIP 01475 (Winchendon, MA)",00,Total for all sectors,2012,146,1210,7672,31803
8610000US01477,01477,"ZIP 01477 (Winchendon Springs, MA)",00,Total for all sectors,2012,1,a,D,D
8610000US01501,01501,"ZIP 01501 (Auburn, MA)",00,Total for all sectors,2012,588,10367,95106,402836
8610000US01503,01503,"ZIP 01503 (Berlin, MA)",00,Total for all sectors,2012,81,349,2811,13367
8610000US01504,01504,"ZIP 01504 (Blackstone, MA)",00,Total for all sectors,2012,131,685,5441,23384
