Unnamed: 0,latitude,longitude,nrides
284,42.2928282828,-71.0118181818,-16.8786047072
285,42.2928282828,-71.0096969697,-16.8635857527
286,42.2928282828,-71.0075757576,-16.8838089622
287,42.2928282828,-71.0054545455,-16.9227328064
288,42.2928282828,-71.0033333333,-17.0090658358
289,42.2928282828,-71.0012121212,-17.1316040905
290,42.2928282828,-70.9990909091,-17.2668394427
291,42.2928282828,-70.996969697,-17.4311687896
292,42.2928282828,-70.9948484848,-17.6046907615
293,42.2928282828,-70.9927272727,-17.7832078712
294,42.2928282828,-70.9906060606,-17.9578838677
295,42.2928282828,-70.9884848485,-18.1280306016
296,42.2928282828,-70.9863636364,-18.2969917632
297,42.2928282828,-70.9842424242,-18.4443442856
298,42.2928282828,-70.9821212121,-18.585057283
299,42.2928282828,-70.98,-18.719472253
300,42.2942424242,-71.19,-17.8816173586
301,42.2942424242,-71.1878787879,-17.7076687876
302,42.2942424242,-71.1857575758,-17.537192272
303,42.2942424242,-71.1836363636,-17.3743801893
304,42.2942424242,-71.1815151515,-17.2263434521
305,42.2942424242,-71.1793939394,-17.0883640989
306,42.2942424242,-71.1772727273,-16.9710974831
307,42.2942424242,-71.1751515152,-16.8691853737
308,42.2942424242,-71.173030303,-16.7686407804
309,42.2942424242,-71.1709090909,-16.6716112777
310,42.2942424242,-71.1687878788,-16.5734564736
311,42.2942424242,-71.1666666667,-16.4840414522
312,42.2942424242,-71.1645454545,-16.365716567
313,42.2942424242,-71.1624242424,-16.2214816751
314,42.2942424242,-71.1603030303,-16.0563367696
315,42.2942424242,-71.1581818182,-15.8438212383
316,42.2942424242,-71.1560606061,-15.595340781
317,42.2942424242,-71.1539393939,-15.3245791909
318,42.2942424242,-71.1518181818,-15.0782711304
319,42.2942424242,-71.1496969697,-14.878767566
320,42.2942424242,-71.1475757576,-14.747475521
321,42.2942424242,-71.1454545455,-14.6956853009
322,42.2942424242,-71.1433333333,-14.7249965464
323,42.2942424242,-71.1412121212,-14.83049709
324,42.2942424242,-71.1390909091,-14.9505996253
325,42.2942424242,-71.136969697,-15.0192879628
326,42.2942424242,-71.1348484848,-14.9713686716
327,42.2942424242,-71.1327272727,-14.7483948912
328,42.2942424242,-71.1306060606,-14.3246831758
329,42.2942424242,-71.1284848485,-13.6951284066
330,42.2942424242,-71.1263636364,-12.8674559391
331,42.2942424242,-71.1242424242,-11.8260138028
332,42.2942424242,-71.1221212121,-10.5597042959
333,42.2942424242,-71.12,-9.08980241931
334,42.2942424242,-71.1178787879,-7.54416731407
335,42.2942424242,-71.1157575758,-6.17501127394
336,42.2942424242,-71.1136363636,-5.25872790035
337,42.2942424242,-71.1115151515,-4.94807028278
338,42.2942424242,-71.1093939394,-5.14449266888
339,42.2942424242,-71.1072727273,-5.51298037752
340,42.2942424242,-71.1051515152,-5.74010124044
341,42.2942424242,-71.103030303,-5.82093775285
342,42.2942424242,-71.1009090909,-5.7892680682
343,42.2942424242,-71.0987878788,-5.76683294211
344,42.2942424242,-71.0966666667,-5.83848278958
345,42.2942424242,-71.0945454545,-6.06683238696
346,42.2942424242,-71.0924242424,-6.50169128879
347,42.2942424242,-71.0903030303,-7.16168997541
348,42.2942424242,-71.0881818182,-8.05476837892
349,42.2942424242,-71.0860606061,-9.1789260682
350,42.2942424242,-71.0839393939,-10.4852326856
351,42.2942424242,-71.0818181818,-11.8901124235
352,42.2942424242,-71.0796969697,-13.2999217447
353,42.2942424242,-71.0775757576,-14.561151154
354,42.2942424242,-71.0754545455,-15.5279098029
355,42.2942424242,-71.0733333333,-16.0433531636
356,42.2942424242,-71.0712121212,-16.0296352921
357,42.2942424242,-71.0690909091,-15.5703996767
358,42.2942424242,-71.066969697,-14.9400935707
359,42.2942424242,-71.0648484848,-14.4738228779
360,42.2942424242,-71.0627272727,-14.3771861802
361,42.2942424242,-71.0606060606,-14.6465462362
362,42.2942424242,-71.0584848485,-15.0755508183
363,42.2942424242,-71.0563636364,-15.3974243201
364,42.2942424242,-71.0542424242,-15.4084238818
365,42.2942424242,-71.0521212121,-15.0775563727
366,42.2942424242,-71.05,-14.4521479761
367,42.2942424242,-71.0478787879,-13.6626136767
368,42.2942424242,-71.0457575758,-12.8336547355
369,42.2942424242,-71.0436363636,-12.0759159141
370,42.2942424242,-71.0415151515,-11.4818713198
371,42.2942424242,-71.0393939394,-11.1226207051
372,42.2942424242,-71.0372727273,-11.0205089587
373,42.2942424242,-71.0351515152,-11.1750247115
374,42.2942424242,-71.033030303,-11.56887333
375,42.2942424242,-71.0309090909,-12.1390839395
376,42.2942424242,-71.0287878788,-12.8012734948
377,42.2942424242,-71.0266666667,-13.4851988771
378,42.2942424242,-71.0245454545,-14.151343812
379,42.2942424242,-71.0224242424,-14.7483624878
380,42.2942424242,-71.0203030303,-15.2405419083
381,42.2942424242,-71.0181818182,-15.6111557051
382,42.2942424242,-71.0160606061,-15.8706693338
383,42.2942424242,-71.0139393939,-16.0396725671
