,Unnamed: 0,GEO.id,zip,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN,city,state,latitude,longitude,timezone,dst
129,129,8610000US02199,2199,"ZIP 02199 (Boston, MA)",0,Total for all sectors,2012,258,20658.0,706781,2230111,Boston,MA,42.34713,-71.08234,-5,1
130,130,8610000US02201,2201,"ZIP 02201 (Boston, MA)",0,Total for all sectors,2012,5,,D,D,Boston,MA,42.338947,-70.919635,-5,1
131,131,8610000US02203,2203,"ZIP 02203 (Boston, MA)",0,Total for all sectors,2012,9,50.0,511,1917,Boston,MA,42.361485,-71.060364,-5,1
132,132,8610000US02205,2205,"ZIP 02205 (Boston, MA)",0,Total for all sectors,2012,20,536.0,3879,16690,Boston,MA,42.350334,-71.053877,-5,1
133,133,8610000US02210,2210,"ZIP 02210 (Boston, MA)",0,Total for all sectors,2012,830,29459.0,693498,2823057,Boston,MA,42.347974,-71.04463,-5,1
134,134,8610000US02211,2211,"ZIP 02211 (Boston, MA)",0,Total for all sectors,2012,1,,D,D,Boston,MA,42.338947,-70.919635,-5,1
135,135,8610000US02212,2212,"ZIP 02212 (Boston, MA)",0,Total for all sectors,2012,1,,D,D,Boston,MA,42.446396,-71.459405,-5,1
136,136,8610000US02215,2215,"ZIP 02215 (Boston, MA)",0,Total for all sectors,2012,579,52247.0,710259,2997727,Boston,MA,42.346997,-71.10215,-5,1
137,137,8610000US02217,2217,"ZIP 02217 (Boston, MA)",0,Total for all sectors,2012,3,,D,D,Boston,MA,42.338947,-70.919635,-5,1
138,138,8610000US02222,2222,"ZIP 02222 (Boston, MA)",0,Total for all sectors,2012,5,,151,508,Boston,MA,42.367797,-71.06282,-5,1
139,139,8610000US02238,2238,"ZIP 02238 (Cambridge, MA)",0,Total for all sectors,2012,22,,D,D,Cambridge,MA,42.446396,-71.459405,-5,1
140,140,8610000US02269,2269,"ZIP 02269 (Quincy, MA)",0,Total for all sectors,2012,22,1218.0,21334,82658,Quincy,MA,42.180048,-71.08923,-5,1
141,141,8610000US02283,2283,"ZIP 02283 (Boston, MA)",0,Total for all sectors,2012,4,,D,D,Boston,MA,42.338947,-70.919635,-5,1
142,142,8610000US02297,2297,"ZIP 02297 (Boston, MA)",0,Total for all sectors,2012,1,,D,D,Boston,MA,42.338947,-70.919635,-5,1
143,143,8610000US02301,2301,"ZIP 02301 (Brockton, MA)",0,Total for all sectors,2012,1324,24008.0,233013,963906,Brockton,MA,42.0794,-71.03441,-5,1
144,144,8610000US02302,2302,"ZIP 02302 (Brockton, MA)",0,Total for all sectors,2012,358,6316.0,69059,289967,Brockton,MA,42.08715,-71.00222,-5,1
145,145,8610000US02303,2303,"ZIP 02303 (Brockton, MA)",0,Total for all sectors,2012,14,382.0,3971,18697,Brockton,MA,41.970474,-70.701357,-5,1
