latitude,longitude,nrides
42.2928282828,-70.9906060606,-19.1840408499
42.2928282828,-70.9884848485,-19.3300213054
42.2928282828,-70.9863636364,-19.4456139691
42.2928282828,-70.9842424242,-19.5362853828
42.2928282828,-70.9821212121,-19.6066744074
42.2928282828,-70.98,-19.6607107637
42.2942424242,-71.19,-19.781232844
42.2942424242,-71.1878787879,-19.767402531
42.2942424242,-71.1857575758,-19.745001406
42.2942424242,-71.1836363636,-19.7101613389
42.2942424242,-71.1815151515,-19.6579923043
42.2942424242,-71.1793939394,-19.5828591886
42.2942424242,-71.1772727273,-19.4789448114
42.2942424242,-71.1751515152,-19.3410729587
42.2942424242,-71.173030303,-19.1656332442
42.2942424242,-71.1709090909,-18.9513142455
42.2942424242,-71.1687878788,-18.6992777137
42.2942424242,-71.1666666667,-18.4124608962
42.2942424242,-71.1645454545,-18.0939061752
42.2942424242,-71.1624242424,-17.744350737
42.2942424242,-71.1603030303,-17.3596591169
42.2942424242,-71.1581818182,-16.9289118298
42.2942424242,-71.1560606061,-16.4339658704
42.2942424242,-71.1539393939,-15.8510476939
42.2942424242,-71.1518181818,-15.1544835674
42.2942424242,-71.1496969697,-14.3221257956
42.2942424242,-71.1475757576,-13.3415120963
42.2942424242,-71.1454545455,-12.2154019001
42.2942424242,-71.1433333333,-10.9651747966
42.2942424242,-71.1412121212,-9.63077941841
42.2942424242,-71.1390909091,-8.26658632764
42.2942424242,-71.136969697,-6.93358499439
42.2942424242,-71.1348484848,-5.68958469755
42.2942424242,-71.1327272727,-4.57992713038
42.2942424242,-71.1306060606,-3.63120063616
42.2942424242,-71.1284848485,-2.84942314508
42.2942424242,-71.1263636364,-2.22259917229
42.2942424242,-71.1242424242,-1.72639519682
42.2942424242,-71.1221212121,-1.33157091553
42.2942424242,-71.12,-1.01214215714
42.2942424242,-71.1178787879,-0.752552831747
42.2942424242,-71.1157575758,-0.550547600097
42.2942424242,-71.1136363636,-0.413005544558
42.2942424242,-71.1115151515,-0.346728731983
42.2942424242,-71.1093939394,-0.351159377946
42.2942424242,-71.1072727273,-0.414683927259
42.2942424242,-71.1051515152,-0.509705684956
42.2942424242,-71.103030303,-0.642041541293
42.2942424242,-71.1009090909,-0.8053088076
42.2942424242,-71.0987878788,-0.990615338597
42.2942424242,-71.0966666667,-1.18194847392
42.2942424242,-71.0945454545,-1.35458970181
42.2942424242,-71.0924242424,-1.47628184338
42.2942424242,-71.0903030303,-1.5108690017
42.2942424242,-71.0881818182,-1.42445509087
42.2942424242,-71.0860606061,-1.19371136442
42.2942424242,-71.0839393939,-0.814827679418
42.2942424242,-71.0818181818,-0.30817249176
42.2942424242,-71.0796969697,0.261792457054
42.2942424242,-71.0775757576,0.783616818996
42.2942424242,-71.0754545455,1.19053716592
42.2942424242,-71.0733333333,1.4471662023
42.2942424242,-71.0712121212,1.53897355924
42.2942424242,-71.0690909091,1.46680285186
42.2942424242,-71.066969697,1.23940773008
42.2942424242,-71.0648484848,0.869612109603
42.2942424242,-71.0627272727,0.373548870471
42.2942424242,-71.0606060606,-0.23210779724
42.2942424242,-71.0584848485,-0.936579507149
42.2942424242,-71.0563636364,-1.69733418508
42.2942424242,-71.0542424242,-2.43056264034
42.2942424242,-71.0521212121,-3.16130206021
42.2942424242,-71.05,-3.87954085221
42.2942424242,-71.0478787879,-4.5682801563
42.2942424242,-71.0457575758,-5.20719493512
