,latitude,longitude,nrides
464,42.2956565657,-71.0542424242,-1.86030978984
465,42.2956565657,-71.0521212121,-3.13879147635
466,42.2956565657,-71.05,-4.5529535477
467,42.2956565657,-71.0478787879,-6.06313769437
468,42.2956565657,-71.0457575758,-7.60841140483
469,42.2956565657,-71.0436363636,-9.11642591358
470,42.2956565657,-71.0415151515,-10.5181026186
471,42.2956565657,-71.0393939394,-11.76074361
472,42.2956565657,-71.0372727273,-12.8156055334
473,42.2956565657,-71.0351515152,-13.679205573
474,42.2956565657,-71.033030303,-14.3696681932
475,42.2956565657,-71.0309090909,-14.9201209522
476,42.2956565657,-71.0287878788,-15.3710089223
477,42.2956565657,-71.0266666667,-15.7627324299
478,42.2956565657,-71.0245454545,-16.1295648375
479,42.2956565657,-71.0224242424,-16.4954916986
480,42.2956565657,-71.0203030303,-16.8723590843
481,42.2956565657,-71.0181818182,-17.2604050232
482,42.2956565657,-71.0160606061,-17.6508372695
483,42.2956565657,-71.0139393939,-18.0297078358
484,42.2956565657,-71.0118181818,-18.3820837144
485,42.2956565657,-71.0096969697,-18.6955446033
486,42.2956565657,-71.0075757576,-18.9623494356
487,42.2956565657,-71.0054545455,-19.1800776505
488,42.2956565657,-71.0033333333,-19.3509886857
489,42.2956565657,-71.0012121212,-19.4806109881
490,42.2956565657,-70.9990909091,-19.5761201296
491,42.2956565657,-70.996969697,-19.6449383206
492,42.2956565657,-70.9948484848,-19.6937798665
493,42.2956565657,-70.9927272727,-19.728172048
494,42.2956565657,-70.9906060606,-19.7523542472
495,42.2956565657,-70.9884848485,-19.7694108863
496,42.2956565657,-70.9863636364,-19.7815058146
497,42.2956565657,-70.9842424242,-19.7901265531
498,42.2956565657,-70.9821212121,-19.7962907248
499,42.2956565657,-70.98,-19.800700076
500,42.2970707071,-71.19,-19.7712187664
501,42.2970707071,-71.1878787879,-19.7653172205
502,42.2970707071,-71.1857575758,-19.7549373179
503,42.2970707071,-71.1836363636,-19.7382089724
504,42.2970707071,-71.1815151515,-19.7127754404
505,42.2970707071,-71.1793939394,-19.6759117009
506,42.2970707071,-71.1772727273,-19.6247232631
507,42.2970707071,-71.1751515152,-19.5564173814
508,42.2970707071,-71.173030303,-19.4685936231
509,42.2970707071,-71.1709090909,-19.3594503059
510,42.2970707071,-71.1687878788,-19.2277712677
511,42.2970707071,-71.1666666667,-19.0725704489
512,42.2970707071,-71.1645454545,-18.8923443548
513,42.2970707071,-71.1624242424,-18.6840042057
514,42.2970707071,-71.1603030303,-18.4416942363
515,42.2970707071,-71.1581818182,-18.1558020756
516,42.2970707071,-71.1560606061,-17.8124938203
517,42.2970707071,-71.1539393939,-17.3940496908
518,42.2970707071,-71.1518181818,-16.8801519941
519,42.2970707071,-71.1496969697,-16.2501115065
520,42.2970707071,-71.1475757576,-15.4858295623
521,42.2970707071,-71.1454545455,-14.575090407
522,42.2970707071,-71.1433333333,-13.514582922
523,42.2970707071,-71.1412121212,-12.3119215266
524,42.2970707071,-71.1390909091,-10.9859700797
525,42.2970707071,-71.136969697,-9.5650594826
526,42.2970707071,-71.1348484848,-8.08322757302
527,42.2970707071,-71.1327272727,-6.57522380327
528,42.2970707071,-71.1306060606,-5.07135454551
529,42.2970707071,-71.1284848485,-3.59298036727
530,42.2970707071,-71.1263636364,-2.14900313662
531,42.2970707071,-71.1242424242,-0.734730529789
532,42.2970707071,-71.1221212121,0.661656856685
533,42.2970707071,-71.12,2.03804323062
534,42.2970707071,-71.1178787879,3.34730984181
535,42.2970707071,-71.1157575758,4.48432567835
536,42.2970707071,-71.1136363636,5.32227048931
537,42.2970707071,-71.1115151515,5.7857323536
538,42.2970707071,-71.1093939394,5.89811821921
539,42.2970707071,-71.1072727273,5.75834752481
540,42.2970707071,-71.1051515152,5.47514179692
541,42.2970707071,-71.103030303,5.12257552507
542,42.2970707071,-71.1009090909,4.74154934153
543,42.2970707071,-71.0987878788,4.3623366934
544,42.2970707071,-71.0966666667,4.01848686639
545,42.2970707071,-71.0945454545,3.74558925371
546,42.2970707071,-71.0924242424,3.57330637965
547,42.2970707071,-71.0903030303,3.51830128145
548,42.2970707071,-71.0881818182,3.58043942167
549,42.2970707071,-71.0860606061,3.74205207413
550,42.2970707071,-71.0839393939,3.96987172518
551,42.2970707071,-71.0818181818,4.21958557862
552,42.2970707071,-71.0796969697,4.44292346752
553,42.2970707071,-71.0775757576,4.59663710066
554,42.2970707071,-71.0754545455,4.65163171876
555,42.2970707071,-71.0733333333,4.59918214702
556,42.2970707071,-71.0712121212,4.45062993322
557,42.2970707071,-71.0690909091,4.22850008548
558,42.2970707071,-71.066969697,3.95079487433
559,42.2970707071,-71.0648484848,3.61508018128
560,42.2970707071,-71.0627272727,3.19224324218
561,42.2970707071,-71.0606060606,2.63650183772
562,42.2970707071,-71.0584848485,1.90605909168
563,42.2970707071,-71.0563636364,0.978413292843
564,42.2970707071,-71.0542424242,-0.149017438702
565,42.2970707071,-71.0521212121,-1.46494373778
566,42.2970707071,-71.05,-2.94440370677
567,42.2970707071,-71.0478787879,-4.54327342524
568,42.2970707071,-71.0457575758,-6.19712512152
569,42.2970707071,-71.0436363636,-7.82999294621
570,42.2970707071,-71.0415151515,-9.36913785753
571,42.2970707071,-71.0393939394,-10.7584763926
572,42.2970707071,-71.0372727273,-11.9660673967
573,42.2970707071,-71.0351515152,-12.9849738959
574,42.2970707071,-71.033030303,-13.8291513137
575,42.2970707071,-71.0309090909,-14.5266746284
576,42.2970707071,-71.0287878788,-15.1123244171
